,name,avg_rating,num_of_reviews,latitude,longitude,restaurante_categoria,state_name,total_population,hispanic_population,avg_income
323,taco diner,3.4,8,32.9453502,-97.129831,restaurante mexicano,Texas,27337059,10704104,50373.87
327,callejeros,4.3,18,29.3570809,-98.5212229,restaurante mexicano,Texas,27337059,10704104,50373.87
336,mexinica deli,4.4,33,40.656014,-73.5830067,restaurante centroamericano,New York,19664161,3559667,59272.35
346,bellos restaurants of east dundee,4.5,14,42.0989298,-88.272369,restaurante mexicano,Illinois,12829297,2113775,53467.05
351,fajita pete's - firethorne,4.0,48,29.7538801,-95.8509716,restaurante mexicano,Texas,27337059,10704104,50373.87
370,cemitas,4.6,5,34.0268173,-118.3931825,restaurante mexicano,California,38773436,14744533,63364.21
373,mexican on the pier,4.2,15,33.839306,-118.3917182,restaurante mexicano,California,38773436,14744533,63364.21
379,el mejicano,4.7,13,29.9384082,-95.4070919,restaurante mexicano,Texas,27337059,10704104,50373.87
384,tacos la patroncita,3.7,18,32.814909199999995,-96.9761566,restaurante mexicano,Texas,27337059,10704104,50373.87
389,juan y yo taco grill,4.3,55,41.9653365,-87.9978624,restaurante mexicano,Illinois,12829297,2113775,53467.05
399,la cabaña del tio,4.3,47,40.6264845,-74.075422,restaurante mexicano,New York,19664161,3559667,59272.35
407,taco san marcos,4.8,55,27.9816691,-81.9574344,restaurante mexicano,Florida,20158603,4695397,48321.24
424,con sabor a mexico,5.0,18,37.3253588,-121.898537,restaurante mexicano,California,38773436,14744533,63364.21
431,los dubon restaurant,3.8,18,37.307118,-121.8995972,restaurante centroamericano,California,38773436,14744533,63364.21
439,mi taqueria rio bravo,4.5,124,26.2134987,-97.9624833,restaurante mexicano,Texas,27337059,10704104,50373.87
464,el sombrerito,3.5,25,42.1117744,-88.29588319999999,restaurante mexicano,Illinois,12829297,2113775,53467.05
476,tri bros. pizzeria & café,4.4,28,40.6401341,-74.01951369999999,restaurante mexicano,New York,19664161,3559667,59272.35
483,trevino's,4.0,36,37.9275935,-122.3205368,restaurante mexicano,California,38773436,14744533,63364.21
496,pablo's restaurant and cantina,4.4,53,32.9417282,-96.380675,restaurante mexicano,Texas,27337059,10704104,50373.87
516,lolita's mexican food,4.2,38,32.7710336,-117.0702359,restaurante mexicano,California,38773436,14744533,63364.21
532,el palenque,3.7,17,37.6234201,-121.0188762,restaurante mexicano,California,38773436,14744533,63364.21
535,el oasis frutal,4.3,17,34.0918069,-117.4469667,restaurante mexicano,California,38773436,14744533,63364.21
542,supermercado almita,4.2,26,41.9902035,-87.66976199999999,restaurante mexicano,Illinois,12829297,2113775,53467.05
547,la michoacana,3.9,30,34.0819621,-117.6891107,restaurante mexicano,California,38773436,14744533,63364.21
560,taqueria la fiesta,3.8,16,33.7324989,-117.8863074,restaurante mexicano,California,38773436,14744533,63364.21
564,tacos el paisano,3.9,28,40.6346212,-73.962154,restaurante mexicano,New York,19664161,3559667,59272.35
576,el jefes taco shop,4.0,26,32.7700243,-117.2527426,restaurante mexicano,California,38773436,14744533,63364.21
585,el sabor del austro,3.9,28,40.7043335,-73.9104782,restaurante ecuatoriano,New York,19664161,3559667,59272.35
591,terraza tequila,3.1,18,33.9871747,-118.1881757,restaurante mexicano,California,38773436,14744533,63364.21
598,pollolandia,3.9,18,30.4210722,-97.6280575,restaurante mexicano,Texas,27337059,10704104,50373.87
610,chai khana,4.7,98,29.7173846,-95.5100767,restaurante mexicano,Texas,27337059,10704104,50373.87
630,taqueria marisol taco stand,4.4,23,29.605069,-95.4642863,restaurante mexicano,Texas,27337059,10704104,50373.87
640,taco truck,4.6,24,35.9649821,-119.2922385,restaurante mexicano,California,38773436,14744533,63364.21
653,"tosti tito's, mexican snacks & more",4.7,36,33.4502428,-112.3599344,restaurante mexicano,Arizona,6707875,2030951,45892.43
659,tacos y mariscos,3.8,58,33.7384074,-118.2880763,restaurante mexicano,California,38773436,14744533,63364.21
679,starlight restaurant & lounge,3.9,28,26.2418115,-80.14922159999999,restaurante mexicano,Florida,20158603,4695397,48321.24
685,guadalajara market,4.2,68,37.6072901,-120.9939017,restaurante mexicano,California,38773436,14744533,63364.21
711,arriba los rudos torteria,4.6,68,32.6791761,-97.2701901,restaurante mexicano,Texas,27337059,10704104,50373.87
729,el palenque pizzería cubana,4.2,18,25.7327903,-80.3356063,restaurante cubano,Florida,20158603,4695397,48321.24
740,lechonera el patio,4.4,18,28.0353528,-82.01743689999999,restaurante puertorriqueño,Florida,20158603,4695397,48321.24
748,los tacos by chef omar,4.1,57,26.3674786,-80.0763765,restaurante mexicano,Florida,20158603,4695397,48321.24
770,corrina's pizza,4.3,46,25.513407,-80.478359,restaurante latinoamericano,Florida,20158603,4695397,48321.24
785,la papa loca,4.2,35,34.0331421,-118.2457837,restaurante mexicano,California,38773436,14744533,63364.21
792,taqueria la michoacana,4.6,108,40.9097168,-73.7912213,restaurante mexicano,New York,19664161,3559667,59272.35
821,don pedro taqueria,4.4,24,32.7228042,-97.3319848,restaurante mexicano,Texas,27337059,10704104,50373.87
829,laredo taco company,2.3,26,33.2623655,-96.7842858,restaurante mexicano,Texas,27337059,10704104,50373.87
841,red sea restaurant,4.7,34,42.0192697,-87.6821435,restaurante caribeño,Illinois,12829297,2113775,53467.05
850,sharky's woodfired mexican grill,4.0,18,33.6967595,-117.8282987,restaurante mexicano,California,38773436,14744533,63364.21
857,tortas arabes,4.5,13,25.9344953,-97.4863441,restaurante mexicano,Texas,27337059,10704104,50373.87
863,cactus bar & grill,4.0,16,35.3830556,-119.0547222,restaurante mexicano,California,38773436,14744533,63364.21
869,mi mexico restaurant,4.5,58,34.1846144,-101.7143466,restaurante mexicano,Texas,27337059,10704104,50373.87
891,tacos y mariscos sinaloa,4.0,18,33.4661226,-112.1197686,restaurante mexicano,Arizona,6707875,2030951,45892.43
900,potrillos mexican grill,4.6,56,39.2751073,-89.88248639999999,restaurante mexicano,Illinois,12829297,2113775,53467.05
917,family chef,3.4,34,40.842124,-73.92464,restaurante latinoamericano,New York,19664161,3559667,59272.35
928,veronica's pupusas y tacos,4.2,18,30.1891267,-97.6861931,restaurante centroamericano,Texas,27337059,10704104,50373.87
938,karied's deli cafe,4.8,58,40.8525815,-73.8880187,restaurante mexicano,New York,19664161,3559667,59272.35
954,el gallo tapatio mexican grill,4.2,35,29.6875303,-97.0938353,restaurante mexicano,Texas,27337059,10704104,50373.87
967,chavez guadalupe,4.4,37,33.9940754,-118.2780823,restaurante mexicano,California,38773436,14744533,63364.21
979,el gran sabor authentic mexican buffet,4.3,35,28.9958795,-95.328333,restaurante mexicano,Texas,27337059,10704104,50373.87
990,restaurant pollo al carbon,3.8,36,34.034568,-118.257467,restaurante mexicano,California,38773436,14744533,63364.21
1004,el jardin,4.4,48,30.3562364,-103.6610164,restaurante mexicano,Texas,27337059,10704104,50373.87
1017,viva mexico paleteria y antojitos mexicanos,4.6,36,37.3518967,-121.8709604,restaurante mexicano,California,38773436,14744533,63364.21
1025,tienda el castillo,3.7,38,30.2992488,-81.75124819999999,restaurante mexicano,Florida,20158603,4695397,48321.24
1036,antojitos mexicanos,4.2,35,27.8794164,-82.5062741,restaurante mexicano,Florida,20158603,4695397,48321.24
1044,"sabroso: fresh, fast & yummy!",4.3,37,40.7394705,-73.79023649999999,restaurante mexicano,New York,19664161,3559667,59272.35
1054,panaderia mana,3.9,38,29.719697,-95.488439,restaurante centroamericano,Texas,27337059,10704104,50373.87
1061,tacos el bronco,4.2,58,33.966341,-118.256726,restaurante mexicano,California,38773436,14744533,63364.21
1083,tortillas y restaurante sanmich,4.4,54,32.778697,-96.8415337,restaurante mexicano,Texas,27337059,10704104,50373.87
1102,baja fresh mexican grill,4.0,17,37.5109248,-122.2655084,restaurante mexicano,California,38773436,14744533,63364.21
1106,tacos ana (food truck),4.7,38,29.8029427,-95.4126295,restaurante mexicano,Texas,27337059,10704104,50373.87
1124,hugo's mexican grill,4.3,25,37.3856331,-120.7213674,restaurante mexicano,California,38773436,14744533,63364.21
1131,el burro loco,4.1,28,26.9346116,-80.106521,restaurante mexicano,Florida,20158603,4695397,48321.24
1139,albeto’s taco shop,3.9,17,32.6080184,-117.067295,restaurante mexicano,California,38773436,14744533,63364.21
1146,"tonantzin ""taco goddess""",4.8,28,38.0094985,-121.3194022,restaurante mexicano,California,38773436,14744533,63364.21
1159,salsarita's fresh cantina,4.3,18,32.894177,-97.2640304,restaurante mexicano,Texas,27337059,10704104,50373.87
1171,tacos fiesta la,4.8,38,34.164698099999995,-118.362022,restaurante mexicano,California,38773436,14744533,63364.21
1181,el torito authentic mexican food,4.6,47,32.6541144,-97.3633678,restaurante mexicano,Texas,27337059,10704104,50373.87
1197,maria isabel restaurant,4.1,38,32.9598212,-99.8024758,restaurante mexicano,Texas,27337059,10704104,50373.87
1208,mexican food cart,4.1,28,40.6997229,-73.9116584,restaurante mexicano,New York,19664161,3559667,59272.35
1218,chalo's mexican restaurant,4.5,18,41.9241989,-87.7621289,restaurante mexicano,Illinois,12829297,2113775,53467.05
1229,el paraiso food truck,4.6,71,33.7371544,-117.8681543,restaurante mexicano,California,38773436,14744533,63364.21
1249,las vegas cuban cuisine,4.0,48,25.745692,-80.39014,restaurante cubano,Florida,20158603,4695397,48321.24
1269,dacta bird,3.8,26,40.6390178,-73.91897589999999,restaurante caribeño,New York,19664161,3559667,59272.35
1281,quesadilla loca estilo d.f antojitos mexicanos,4.8,18,33.778884,-118.2757547,restaurante mexicano,California,38773436,14744533,63364.21
1292,chili's grill & bar,4.2,24,33.0268938,-96.7971735,restaurante mexicano,Texas,27337059,10704104,50373.87
1306,los gueros,4.2,28,28.6859665,-100.4745522,restaurante mexicano,Texas,27337059,10704104,50373.87
1318,pozoleria amiguitas,4.0,58,41.9364644,-88.0791174,restaurante mexicano,Illinois,12829297,2113775,53467.05
1333,adriana's taqueria,4.4,98,32.7548983,-98.9036131,restaurante mexicano,Texas,27337059,10704104,50373.87
1365,taco grande,4.2,27,34.5211417,-117.3331384,restaurante mexicano,California,38773436,14744533,63364.21
1372,el tata restaurant inc.,4.6,48,41.7792751,-87.6975925,restaurante mexicano,Illinois,12829297,2113775,53467.05
1389,mr ponchos mexican restaurant,4.5,78,31.5991044,-106.2744216,restaurante mexicano,Texas,27337059,10704104,50373.87
1419,la gran villa,4.0,47,35.3192259,-119.0735838,restaurante mexicano,California,38773436,14744533,63364.21
1434,el cubano restaurant,4.0,35,26.4182998,-81.4185835,restaurante cubano,Florida,20158603,4695397,48321.24
1439,commerce birrieria,4.6,28,33.975412899999995,-118.1243603,restaurante mexicano,California,38773436,14744533,63364.21
1444,"ahumadas mexican grill and tacos,",4.5,68,33.9313656,-117.404656,restaurante mexicano,California,38773436,14744533,63364.21
1475,ulysses tacos & flautas,4.8,55,31.8984314,-106.4089113,restaurante mexicano,Texas,27337059,10704104,50373.87
1486,taqueria monarca,4.4,41,40.608495,-73.957414,restaurante mexicano,New York,19664161,3559667,59272.35
1499,el jalisco grill & cantina,4.2,27,29.620668,-98.511412,restaurante mexicano,Texas,27337059,10704104,50373.87
1504,tequila's restaurant & bar,4.1,18,40.929322,-73.8957628,restaurante mexicano,New York,19664161,3559667,59272.35
1507,taqueria express #3 mexican food,3.9,16,31.1208124,-97.895307,restaurante mexicano,Texas,27337059,10704104,50373.87
1515,taco bell,2.8,28,41.4588095,-74.05515539999999,restaurante mexicano,New York,19664161,3559667,59272.35
1523,"g g's kitchen | bbq, brisket, pulled pork, sausages, el paso",4.9,18,31.8913491,-106.4070482,restaurante mexicano,Texas,27337059,10704104,50373.87
1543,taqueria allende,4.6,26,30.5593039,-96.3206464,restaurante mexicano,Texas,27337059,10704104,50373.87
1553,tacos mexico,4.1,28,31.1907686,-94.781575,restaurante mexicano,Texas,27337059,10704104,50373.87
1564,taco chido,4.3,18,38.442263,-122.703448,restaurante mexicano,California,38773436,14744533,63364.21
1571,uptown shop & save,4.2,58,41.9655628,-87.6546231,restaurante mexicano,Illinois,12829297,2113775,53467.05
1593,margaritas town mexican resturant,4.1,33,41.6612655,-88.5021531,restaurante mexicano,Illinois,12829297,2113775,53467.05
1604,taco doches,4.0,18,29.5284349,-98.4344583,restaurante mexicano,Texas,27337059,10704104,50373.87
1610,taqueria los michoacanos,4.6,18,29.8987109,-95.4110952,restaurante mexicano,Texas,27337059,10704104,50373.87
1618,tortilla zacatecas,4.3,34,29.652034,-95.2074828,restaurante mexicano,Texas,27337059,10704104,50373.87
1634,taqueria santa rosa,4.1,73,38.4291548,-122.7420814,restaurante mexicano,California,38773436,14744533,63364.21
1646,taquería zapata,4.7,18,32.7547453,-117.1231788,restaurante mexicano,California,38773436,14744533,63364.21
1653,luci's bakery,4.9,58,33.0255132,-96.9953437,restaurante venezolano,Texas,27337059,10704104,50373.87
1673,fritanga el campesino,4.0,35,25.8096274,-80.2291755,restaurante centroamericano,Florida,20158603,4695397,48321.24
1683,tia chole,4.6,18,31.8767404,-106.4240399,restaurante mexicano,Texas,27337059,10704104,50373.87
1692,el sabro son,3.9,48,40.8538179,-73.9146428,restaurante latinoamericano,New York,19664161,3559667,59272.35
1710,frida tacos melrose,3.8,16,34.083619299999995,-118.3468834,restaurante mexicano,California,38773436,14744533,63364.21
1716,taco maya,4.3,55,42.007853,-87.886888,restaurante mexicano,Illinois,12829297,2113775,53467.05
1735,the original margies beef stand on north ave.,3.8,17,41.909788,-87.751137,restaurante mexicano,Illinois,12829297,2113775,53467.05
1742,la esquina de la salchipapa ecuatoriana 1 la auténtica la original,4.5,38,40.7495081,-73.8674138,restaurante ecuatoriano,New York,19664161,3559667,59272.35
1750,pupuseria la favorita,4.4,84,33.9599991,-118.2551574,restaurante centroamericano,California,38773436,14744533,63364.21
1777,chalo y lalos authentic mexican restaurant,4.4,46,32.908557,-96.1276446,restaurante mexicano,Texas,27337059,10704104,50373.87
1797,devine bickles restaurant,4.4,47,40.6658649,-73.7789239,restaurante caribeño,New York,19664161,3559667,59272.35
1806,refresqueria zona tropical,4.7,97,29.9023321,-95.3218915,restaurante mexicano,Texas,27337059,10704104,50373.87
1834,rinconcito miami #5 - kendall breeze,4.9,55,25.6485482,-80.39962469999999,restaurante latinoamericano,Florida,20158603,4695397,48321.24
1846,kuba en la playa,4.7,38,27.7435201,-82.7506397,restaurante cubano,Florida,20158603,4695397,48321.24
1868,comida hondureña 5 estrellas (food truck),4.1,46,29.6975973,-95.4926727,restaurante centroamericano,Texas,27337059,10704104,50373.87
1877,restaurant santiago,3.2,45,41.937858,-87.76634899999999,restaurante mexicano,Illinois,12829297,2113775,53467.05
1894,estrella market & liquor,4.3,48,34.0799909,-117.9865041,restaurante mexicano,California,38773436,14744533,63364.21
1917,taqueria lupita,4.4,38,30.0234612,-95.5687426,restaurante mexicano,Texas,27337059,10704104,50373.87
1928,el xangarrito mex restaurant,4.9,78,41.9688652,-87.69366099999999,restaurante mexicano,Illinois,12829297,2113775,53467.05
1950,los comales,4.6,26,31.9901065,-102.0683022,restaurante mexicano,Texas,27337059,10704104,50373.87
1961,mi sueno,4.2,66,40.8626815,-73.9079198,restaurante latinoamericano,New York,19664161,3559667,59272.35
1975,tacos al gusto,4.4,28,40.8219259,-73.9535598,restaurante mexicano,New York,19664161,3559667,59272.35
1985,tacos los potrillos,4.6,18,34.0089613,-117.885968,restaurante mexicano,California,38773436,14744533,63364.21
1991,taqueria el huache,4.6,108,29.7198455,-95.480886,restaurante mexicano,Texas,27337059,10704104,50373.87
2023,el tortillazo mexican food,4.3,36,34.2086104,-118.4225404,restaurante mexicano,California,38773436,14744533,63364.21
2033,los beltran,4.4,26,29.4868739,-98.507558,restaurante mexicano,Texas,27337059,10704104,50373.87
2043,la reyna del sur,4.5,17,40.8472998,-73.8983381,restaurante caribeño,New York,19664161,3559667,59272.35
2046,antojitos denises,4.7,25,34.0187333,-118.1871088,restaurante mexicano,California,38773436,14744533,63364.21
2058,mi nuevo encanto,4.1,144,40.7880247,-73.2014043,restaurante latinoamericano,New York,19664161,3559667,59272.35
2088,latino continental,3.7,28,40.7690444,-72.9713806,restaurante latinoamericano,New York,19664161,3559667,59272.35
2106,casa alegre taqueria & tex mex,4.7,46,32.9024238,-96.6835498,restaurante mexicano,Texas,27337059,10704104,50373.87
2127,nick's taco's and catering,4.5,28,29.3327988,-98.5595263,restaurante mexicano,Texas,27337059,10704104,50373.87
2137,el abuelo #2,4.1,27,35.3679408,-118.967864,restaurante mexicano,California,38773436,14744533,63364.21
2148,mexipino craft,4.5,175,32.5967963,-117.0767497,restaurante mexicano,California,38773436,14744533,63364.21
2230,pollo regio,3.2,38,32.0821725,-96.4837163,restaurante mexicano,Texas,27337059,10704104,50373.87
2245,tacos y tortas ricki's,4.8,33,32.8769528,-96.6218496,restaurante mexicano,Texas,27337059,10704104,50373.87
2257,papi's cuban kitchen,4.3,65,27.8544875,-82.27262139999999,restaurante cubano,Florida,20158603,4695397,48321.24
2280,5 de mayo taqueria,4.2,46,40.690741,-73.545361,restaurante mexicano,New York,19664161,3559667,59272.35
2295,cantina california,4.5,15,37.251454,-121.8622321,restaurante mexicano,California,38773436,14744533,63364.21
2302,taste the méxican flavor m.o,4.9,25,30.2658425,-97.7336681,restaurante mexicano,Texas,27337059,10704104,50373.87
2306,taqueria las palmas,4.8,38,32.0808559,-110.9591993,restaurante mexicano,Arizona,6707875,2030951,45892.43
2319,la cabana tacos y mariscos,4.7,48,33.9722001,-112.7235674,restaurante mexicano,Arizona,6707875,2030951,45892.43
2335,taqueria escondida,4.1,68,27.7859469,-97.4333442,restaurante mexicano,Texas,27337059,10704104,50373.87
2362,la mancha,3.3,14,34.2687175,-119.2487706,restaurante mexicano,California,38773436,14744533,63364.21
2369,imelda's grill & cantina,3.7,48,32.1589439,-94.3386024,restaurante mexicano,Texas,27337059,10704104,50373.87
2381,fiesta mexican grille,4.4,34,32.8936078,-117.2037188,restaurante mexicano,California,38773436,14744533,63364.21
2393,chimi el tigre - wynwood,4.1,18,25.80214,-80.19265,restaurante dominicano,Florida,20158603,4695397,48321.24
2405,panda gordo,4.8,15,35.3737825,-118.9672603,restaurante mexicano,California,38773436,14744533,63364.21
2409,el charro tapatio (tacos y antojitos),4.3,18,27.9963607,-82.2076415,restaurante mexicano,Florida,20158603,4695397,48321.24
2415,tacos el tijuanazo,4.1,28,34.2010335,-118.5092278,restaurante mexicano,California,38773436,14744533,63364.21
2424,sisters,4.4,38,40.6700193,-73.9094401,restaurante caribeño,New York,19664161,3559667,59272.35
2434,sabor a colombia restaurant & bar massapequa,4.6,56,40.6828146,-73.4307741,restaurante colombiano,New York,19664161,3559667,59272.35
2460,el pueblo mexican restaurant,4.8,68,33.4726217,-112.22131,restaurante mexicano,Arizona,6707875,2030951,45892.43
2474,cha cha cha cuba,3.7,18,37.5667695,-122.3239683,restaurante cubano,California,38773436,14744533,63364.21
2484,tres hermanas restaurante salvadoreño,4.5,28,32.8765621,-96.6218958,restaurante centroamericano,Texas,27337059,10704104,50373.87
2493,chiris restaurant,4.7,24,29.9115215,-95.3548465,restaurante mexicano,Texas,27337059,10704104,50373.87
2501,tequila restaurant,4.0,65,37.300123,-120.47888,restaurante mexicano,California,38773436,14744533,63364.21
2521,san antonio kitchen,4.5,44,31.758318,-106.482216,restaurante mexicano,Texas,27337059,10704104,50373.87
2541,marias mexican kitchen & seafood,4.7,28,30.0855229,-94.1205746,restaurante mexicano,Texas,27337059,10704104,50373.87
2548,mariscos la morena,4.4,38,32.7562516,-117.0920291,restaurante mexicano,California,38773436,14744533,63364.21
2559,la siesta taqueria,4.8,36,28.0072793,-81.75095,restaurante mexicano,Florida,20158603,4695397,48321.24
2570,taqueria el zacatecano,4.3,88,33.7820198,-117.2444079,restaurante mexicano,California,38773436,14744533,63364.21
2591,zócalo folsom,4.0,256,38.6553878,-121.1251413,restaurante mexicano,California,38773436,14744533,63364.21
2730,cosme cafe,4.1,28,25.7328528,-80.3311611,restaurante cubano,Florida,20158603,4695397,48321.24
2742,jason's mexican restaurant,4.6,68,32.1637128,-110.9549713,restaurante mexicano,Arizona,6707875,2030951,45892.43
2771,e•'lo•te,5.0,24,33.2057692,-117.0329238,restaurante mexicano,California,38773436,14744533,63364.21
2779,taqueria corral,4.1,18,37.9970893,-121.8220295,restaurante mexicano,California,38773436,14744533,63364.21
2786,taqueria la catrina mexican food,4.2,94,29.3673421,-98.5463033,restaurante mexicano,Texas,27337059,10704104,50373.87
2826,tacos el pastor 53,4.8,45,41.799098,-87.58386449999999,restaurante mexicano,Illinois,12829297,2113775,53467.05
2833,los cheros pupuseria #2,4.5,34,33.903908099999995,-118.1532936,restaurante centroamericano,California,38773436,14744533,63364.21
2842,los perez family restaurant,4.6,44,27.6421295,-81.82307449999999,restaurante mexicano,Florida,20158603,4695397,48321.24
2856,bakery and pupuseria paquita's,4.1,143,29.8699823,-95.4896829,restaurante centroamericano,Texas,27337059,10704104,50373.87
2906,blanquita,4.3,38,40.8653976,-73.8929004,restaurante latinoamericano,New York,19664161,3559667,59272.35
2914,pupuseria la paz,3.8,58,37.9585745,-122.3563366,restaurante mexicano,California,38773436,14744533,63364.21
2927,la llamita peruvian food,4.8,36,32.939624,-96.7718896,restaurante peruano,Texas,27337059,10704104,50373.87
2936,tic-taco restaurant,4.8,118,32.7215145,-97.1156317,restaurante mexicano,Texas,27337059,10704104,50373.87
2960,taqueria don tomas,4.4,26,32.7055657,-97.3173127,restaurante mexicano,Texas,27337059,10704104,50373.87
2969,margarita's mexican cantina,3.4,108,43.209279,-77.69544069999999,restaurante mexicano,New York,19664161,3559667,59272.35
3004,las palmas dominicanas,3.4,68,40.7577822,-73.78187059999999,restaurante dominicano,New York,19664161,3559667,59272.35
3028,el taco tote,3.9,18,32.132197999999995,-111.000166,restaurante mexicano,Arizona,6707875,2030951,45892.43
3035,los tacos,3.8,68,40.7568016,-73.5813446,restaurante mexicano,New York,19664161,3559667,59272.35
3060,el pueblito mexican restaurant & buffet,4.6,26,40.0173439,-90.4336504,restaurante mexicano,Illinois,12829297,2113775,53467.05
3067,el buen gusto restaurant & bakery,4.2,355,26.211304,-80.27053699999999,restaurante colombiano,Florida,20158603,4695397,48321.24
3210,burrito truck,4.5,24,37.7678712,-122.2193733,restaurante mexicano,California,38773436,14744533,63364.21
3219,autana arepas grill,4.9,176,28.4778835,-81.2464839,restaurante latinoamericano,Florida,20158603,4695397,48321.24
3251,la chaparrita taqueria #2,3.8,38,41.8101501,-87.69772329999999,restaurante mexicano,Illinois,12829297,2113775,53467.05
3265,garcias restaurant & catering,4.4,28,34.2041738,-119.1755417,restaurante mexicano,California,38773436,14744533,63364.21
3275,cesi's cafe,4.5,47,35.8874861,-119.4881361,restaurante mexicano,California,38773436,14744533,63364.21
3290,mi tierra linda restaurant,4.5,186,29.358892,-100.8767675,restaurante mexicano,Texas,27337059,10704104,50373.87
3362,tutis fruties ice cream parlor,4.2,18,36.733342,-119.789736,restaurante mexicano,California,38773436,14744533,63364.21
3368,cecilia's mexican restaurant,4.4,16,37.0624587,-120.8491521,restaurante mexicano,California,38773436,14744533,63364.21
3374,el regio tacos y gorditas al vapor,4.6,25,26.3234527,-98.3653467,restaurante mexicano,Texas,27337059,10704104,50373.87
3378,tacos y gorditas kenia,3.9,18,26.3264713,-98.3810501,restaurante mexicano,Texas,27337059,10704104,50373.87
3386,pepe's taqueria,3.4,18,37.7924983,-122.3931387,restaurante mexicano,California,38773436,14744533,63364.21
3393,la estrella tacos,4.0,18,34.120244,-118.199534,restaurante mexicano,California,38773436,14744533,63364.21
3400,tacos michoacan,3.4,33,33.6189902,-112.0312196,restaurante mexicano,Arizona,6707875,2030951,45892.43
3413,taqueria el vecino,4.6,34,26.154276,-98.1163301,restaurante mexicano,Texas,27337059,10704104,50373.87
3421,julio's mexican grill,3.3,57,29.712005,-95.31502,restaurante mexicano,Texas,27337059,10704104,50373.87
3445,la guadalupana meat market,3.9,24,35.962242,-119.0419234,restaurante mexicano,California,38773436,14744533,63364.21
3450,el fogon the kitchen grill restaurante,4.2,47,30.3069446,-95.4563907,restaurante latinoamericano,Texas,27337059,10704104,50373.87
3463,tropix island fest,3.8,38,28.7358982,-81.3063133,restaurante caribeño,Florida,20158603,4695397,48321.24
3480,crazy tacos on 9th,4.7,25,34.0421707,-118.2560441,restaurante mexicano,California,38773436,14744533,63364.21
3491,fresh cafe - restaurant,4.9,68,42.2025987,-87.8104668,restaurante latinoamericano,Illinois,12829297,2113775,53467.05
